net,length_um
_02551_,135.62
mem_rdata_q\[13\],135.36
_05253_,135.3
_02353_,135.255
clknet_leaf_45_clk,134.92
_07499_,134.45
_02748_,134.4
_06639_,134.08
_05127_,133.88
_02508_,133.2
_03715_,133.11
_07385_,133
_02664_,132.805
clknet_leaf_81_clk,132.24
_03220_,132.08
_04493_,131.96
_03362_,131.66
_01660_,131.39
net53,131.24
_02208_,131.18
clknet_leaf_133_clk,130.86
clknet_leaf_111_clk,130.56
decoded_imm_j\[7\],130.48
clknet_leaf_143_clk,129.88
_02107_,129.78
_02563_,129.55
_03643_,129.155
clknet_leaf_178_clk,129.1
_03438_,129
_02945_,128.14
net237,127.9
_04425_,127.81
clknet_leaf_90_clk,127.68
_07386_,127.605
_06086_,127.595
net113,127.43
_01618_,127.4
_06205_,127.34
_04052_,126.98
clknet_leaf_91_clk,126.975
_03297_,126.92
_03050_,126.68
_02693_,126.39
_03648_,126.28
net133,126.24
_03599_,126.085
_05243_,125.74
_07281_,125.73
_01630_,125.7
_03250_,125.58
clknet_leaf_177_clk,125.4
instr_lh,124.85
_04902_,124.84
clknet_leaf_33_clk,124.625
_01791_,124.32
clknet_leaf_142_clk,124.12
_04906_,123.72
_02305_,123.11
_03266_,123.1
_07010_,122.86
mem_do_rinst,122.2
_01863_,121.28
_02136_,121.02
_07503_,120.97
_03630_,120.93
clknet_leaf_50_clk,120.905
_03418_,120.6
_05784_,120.32
clknet_leaf_66_clk,120.22
_03501_,119.84
_03537_,119.745
_03360_,119.7
_02304_,119.62
clknet_leaf_183_clk,119.52
_04186_,119.3
_03647_,119.17
_02582_,118.74
clknet_leaf_169_clk,118.655
_02220_,118.42
mem_do_rdata,118.35
_03612_,118
_02566_,117.78
_03499_,117.71
_03938_,117.68
_07514_,117.24
mem_rdata_q\[12\],117.145
_03611_,117.14
clknet_leaf_185_clk,117.08
_06007_,116.96
clknet_leaf_101_clk,116.92
clknet_leaf_46_clk,116.68
_04211_,116.5
_03284_,116.46
_03592_,116.32
clknet_leaf_52_clk,116.32
_05249_,115.92
net40,115.59
_02089_,115.48
clknet_leaf_104_clk,115.36
_03390_,115.08
clknet_leaf_70_clk,114.42
clknet_leaf_113_clk,114.38
_07262_,114.105
_03518_,114.045
_04982_,113.96
_03544_,113.925
clknet_leaf_129_clk,113.92
_03524_,113.765
clknet_leaf_150_clk,113.32
_03634_,113.245
_06444_,113
_03583_,112.685
clknet_leaf_174_clk,112.66
_04540_,112.445
_03572_,112
_05238_,111.6
_06981_,111.6
_01628_,111.18
clknet_leaf_138_clk,111.16
_02221_,110.82
net146,110.74
_01622_,110.59
mem_do_wdata,110.15
clknet_leaf_158_clk,110.035
_05303_,109.56
_03511_,109.405
_04561_,109.18
net89,109.06
_04643_,108.99
_05687_,108.84
_03553_,108.7
clknet_leaf_141_clk,108.58
_02236_,108.55
_03621_,108.42
_03557_,108.415
clknet_leaf_176_clk,108.41
_07055_,108.06
_03447_,107.97
clknet_leaf_119_clk,107.32
is_beq_bne_blt_bge_bltu_bgeu,107.3
mem_rdata_q\[7\],107.17
clknet_leaf_116_clk,106.86
_03533_,106.84
_05257_,106.655
_03563_,106.625
mem_rdata_q\[26\],106.61
_03577_,106.585
_03469_,106.53
_03596_,105.985
_02609_,105.6
_04891_,105.6
_06396_,105.6
clknet_leaf_148_clk,105.5
clknet_leaf_132_clk,105.24
clknet_leaf_76_clk,105.07
_06210_,104.86
_03299_,104.7
_02705_,104.39
_03434_,103.92
clknet_leaf_7_clk,103.82
_03503_,103.345
_03543_,103.28
_01664_,103.22
_05678_,102.92
clknet_leaf_171_clk,102.77
_03221_,102.675
_07287_,102.16
_04008_,102.14
_03442_,102.12
_06085_,102
_01754_,101.935
_03640_,101.86
_07217_,101.8
_03602_,101.71
mem_do_prefetch,101.7
clknet_leaf_35_clk,101.48
clknet_leaf_2_clk,101.46
_04531_,101.34
_06080_,100.92
clknet_leaf_145_clk,100.82
_02696_,100.46
is_sll_srl_sra,100.4
clknet_leaf_38_clk,100.36
_02446_,100.295
_04983_,100.2
_04905_,100.18
_06842_,99.72
_03448_,99.63
clknet_leaf_56_clk,99.28
clknet_leaf_152_clk,99.08
clknet_leaf_44_clk,98.86
_07171_,98.66
clknet_leaf_149_clk,98.48
_05019_,98.44
net150,98.14
_03435_,98.06
clknet_leaf_43_clk,98.06
clknet_leaf_92_clk,98.06
_05655_,97.92
_03148_,97.9
_04181_,97.74
_02091_,97.7
_07280_,97.63
_03980_,97.62
_03477_,97.52
_02473_,97.45
instr_rdinstrh,97.21
_06192_,97.04
reg_next_pc\[29\],96.88
clknet_leaf_32_clk,96.86
clknet_leaf_69_clk,96.78
clknet_leaf_88_clk,96.66
_03228_,96.52
_07518_,96.42
_07271_,96.26
clknet_leaf_89_clk,96.26
clknet_leaf_146_clk,96.14
instr_xori,95.86
clknet_leaf_0_clk,95.78
clknet_leaf_18_clk,95.56
clknet_leaf_125_clk,95.48
_07200_,95.42
_05677_,95.4
_07496_,95.38
clknet_leaf_100_clk,95.26
_03268_,95.02
instr_rdinstr,94.91
_03490_,94.885
_04280_,94.72
